,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m
AALR3,ON NM,ALLIAR ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,21.49,2023-02-10,15.73,21.66,10209400,2542120000,3204450000,2022-09-30,118293000,-1876,237,8459,233,097,-3099,-249,0.0%,2190,10663,1.2%,-115,907,30.5%,2.8%,-11.8%,1.1%,1.3%,-12.6%,086,085,042,2631220000,,,1072550000,,,-135492000,,,-75123000,247829000,508798000,910160000,662331000,1092130000,30052000,280755000,-5522000
ABCB4,PN N2,ABC Brasil PN N2,Intermediários Financeiros,Bancos,18.27,2023-02-10,14.34,22.30,16717200,4130670000,-,2022-12-31,226090000,516,079,-,-,-,-,-,7.6%,-,-,27.5%,354,2302,-,-,0.0%,0.0%,-,15.4%,-,-,-,56768500000,0,0,5205390000,1457840000,367979000,800234000,344592000,90254000,197272000,,,,,,,,
ABEV3,ON,AMBEV S/A ON,Bebidas,Cervejas e Refrigerantes,12.86,2023-02-10,12.48,16.03,520280000,202548000000,186468000000,2022-09-30,15750200000,1546,225,1317,256,143,3080,-2262,5.9%,899,1212,13.0%,083,573,49.5%,19.5%,17.2%,10.8%,15.0%,14.5%,119,003,056,142064000000,,,90178000000,,,13098300000,,,3108560000,19059900000,41557000000,2980480000,-16079400000,79026600000,15384100000,20587600000,3728450000
AERI3,ON NM,AERIS ON NM,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.17,2023-02-10,0.88,6.26,10852600,896470000,1651480000,2022-12-31,766213000,-967,101,472,036,024,071,-306,1.8%,679,870,5.7%,-012,115,11.9%,7.7%,-3.8%,5.0%,8.0%,-10.5%,195,205,065,3774960000,,,884868000,,,-92709000,,,-39425000,1061720000,2597560000,1816730000,755008000,2468880000,189736000,654772000,73853000
AESB3,ON NM,AES BRASIL ON NM,Energia Elétrica,Energia Elétrica,9.88,2023-02-10,9.08,12.27,22995100,5947040000,10385200000,2022-09-30,601927000,-146119,142,1167,211,039,201,-106,0.9%,1032,2038,130.2%,-001,694,25.0%,18.1%,5.4%,3.4%,4.5%,-0.1%,363,189,019,15104700000,,,4175170000,,,-4070010,,,40501000,3455380000,4091870000,7893510000,4438120000,2816160000,509586000,786558000,170934000
AFLT3,ON,AFLUENTE T ON,Energia Elétrica,Energia Elétrica,9.21,2023-02-10,8.28,10.50,3973,581013000,550084000,2022-09-30,63085000,485,214,471,377,185,1037,1602,2.6%,445,446,41.4%,190,430,82.7%,80.1%,77.7%,39.2%,44.1%,44.1%,340,000,049,314644000,,,271493000,,,119734000,,,10001000,31318000,79408000,389000,-30929000,154006000,123404000,18466000,10122000
AGRO3,ON NM,BRASILAGRO ON NM,Agropecuária,Agricultura,27.01,2023-02-10,20.04,31.53,11835500,2765200000,3328330000,2022-12-31,102377000,2221,135,1584,217,082,435,-6585,19.5%,1294,1906,33.7%,122,2004,22.0%,13.7%,9.8%,5.2%,6.0%,6.1%,199,043,038,3368960000,,,2051180000,,,124483000,,,-12881000,320365000,1275790000,883494000,563129000,1271460000,174590000,171537000,-9184000
AGXY3,ON NM,AGROGALAXY ON NM,Agropecuária,Agricultura,9.42,2023-02-10,6.66,11.73,669472,1609170000,2761540000,2022-09-30,170825000,-2448,126,339,015,018,162,-533,1.8%,482,582,87.4%,-038,751,12.5%,4.4%,-0.6%,5.5%,11.3%,-5.1%,116,152,123,8705720000,,,1282050000,,,-65722000,,,24358000,795170000,7106210000,1947540000,1152370000,10704400000,474727000,3074310000,182096000
AHEB3,ON,PARQUE ANHEMBI ON,Viagens e Lazer,Produção de Eventos e Shows,20.00,2022-12-20,17.00,30.00,1358,170880000,171689000,2022-09-30,8544000,-516,-211,-1845,082,059,-17296,-058,0.0%,-6440,-1854,25.7%,-387,-947,30.9%,-4.4%,-15.9%,-3.2%,-3.5%,40.9%,099,-005,072,290088000,,,-80875000,,,-33104000,,,-14310000,3242000,74583000,4051000,809000,208324000,-9260000,37431000,-11642000
AHEB5,PNA,PARQUE ANHEMBI PNA,Viagens e Lazer,Produção de Eventos e Shows,22.00,2021-12-30,0.00,0.00,0,187968000,188777000,2022-09-30,8544000,-568,-232,-2030,090,065,-19025,-063,0.0%,-7081,-2039,25.7%,-387,-947,30.9%,-4.4%,-15.9%,-3.2%,-3.5%,40.9%,099,-005,072,290088000,,,-80875000,,,-33104000,,,-14310000,3242000,74583000,4051000,809000,208324000,-9260000,37431000,-11642000
AHEB6,PNB,PARQUE ANHEMBI PNB,Viagens e Lazer,Produção de Eventos e Shows,19.31,2022-12-16,19.31,41.20,44,164985000,165794000,2022-09-30,8544000,-498,-204,-1782,079,057,-16699,-056,0.0%,-6219,-1790,25.7%,-387,-947,30.9%,-4.4%,-15.9%,-3.2%,-3.5%,40.9%,099,-005,072,290088000,,,-80875000,,,-33104000,,,-14310000,3242000,74583000,4051000,809000,208324000,-9260000,37431000,-11642000
ALLD3,ON NM,ALLIED ON NM,Comércio,Eletrodomésticos,5.30,2023-02-10,5.30,14.79,232597,494069000,1025910000,2022-09-30,93220600,669,033,275,009,013,047,182,17.5%,404,571,-5.5%,079,1622,13.7%,3.3%,1.4%,4.8%,7.3%,4.9%,172,042,145,3737770000,,,1512190000,,,73836000,,,6207000,103301000,2497180000,635140000,531839000,5422440000,179665000,1127920000,44879000
ALPA3,ON N1,ALPARGATAS ON N1,"Tecidos, Vestuário e Calçados",Calçados,9.51,2023-02-10,9.51,24.78,105054,6495920000,7123650000,2022-12-31,683062000,5348,113,1197,155,076,285,629,0.0%,1009,1313,2.0%,018,843,46.1%,13.0%,2.6%,6.4%,7.5%,2.1%,252,022,049,8499680000,,,5758100000,,,121462000,,,-20809000,647517000,3773380000,1275250000,627734000,4181870000,542660000,1103380000,84279000
ALPA4,PN N1,ALPARGATAS PN N1,"Tecidos, Vestuário e Calçados",Calçados,9.58,2023-02-10,9.58,28.02,59805000,6543730000,7171470000,2022-12-31,683062000,5387,114,1206,156,077,287,633,0.0%,1016,1322,2.0%,018,843,46.1%,13.0%,2.6%,6.4%,7.5%,2.1%,252,022,049,8499680000,,,5758100000,,,121462000,,,-20809000,647517000,3773380000,1275250000,627734000,4181870000,542660000,1103380000,84279000
ALPK3,ON NM,ESTAPAR ON NM,Serviços Diversos,Serviços Diversos,1.50,2023-02-10,1.23,4.90,520142,321640000,1594760000,2022-09-30,214427000,-194,070,151,030,012,-085,-017,0.0%,359,750,42.9%,-077,214,29.8%,19.7%,-15.3%,8.2%,9.0%,-36.1%,044,303,041,2607600000,,,459504000,,,-165923000,,,-35101000,118342000,293216000,1391460000,1273120000,1077860000,212578000,295019000,29571000
